[DEBUG] 2016-04-06 16:05:05:0948 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 160 | 306008 | Show message to user: 
[DEBUG] 2016-04-06 16:05:05:0949 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 184 | 306008 | Userrole is guest
[DEBUG] 2016-04-06 16:05:05:0952 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/pagefromget.php | 35 | 311256 | Page is admin_hello
[DEBUG] 2016-04-06 16:05:05:0952 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 71 | 309448 | Trying to get mode from get
[INFO ] 2016-04-06 16:05:05:0953 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/modefromget.php | 2 | 311288 | Got this file
[DEBUG] 2016-04-06 16:05:05:0954 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 74 | 309528 | Trying to get menu from get
[INFO ] 2016-04-06 16:05:05:0955 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/menufromget.php | 2 | 311368 | Got this file
[DEBUG] 2016-04-06 16:05:05:0955 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 77 | 309912 | Trying to get language from get
[INFO ] 2016-04-06 16:05:05:0956 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/langfromget.php | 2 | 311752 | Got this file
[DEBUG] 2016-04-06 16:05:05:0956 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 80 | 310216 | Trying to get all site messages from DB
[DEBUG] 2016-04-06 16:05:05:0957 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/messages.php | 11 | 312096 | Got this file
[DEBUG] 2016-04-06 16:05:05:0965 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/messages.php | 22 | 322784 | Got 2 messages for this company
[DEBUG] 2016-04-06 16:05:05:0966 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 89 | 320992 | Trying to call autoload_scripts_from_functions.php
[INFO ] 2016-04-06 16:05:05:0966 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/autoload_scripts_from_functions.php | 11 | 322944 | Got this file
[DEBUG] 2016-04-06 16:05:05:0967 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/start_platform_scripts.php | 93 | 321272 | Trying to insert SEND_LETTER function
[INFO ] 2016-04-06 16:05:05:0968 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/functions/send_letter.php | 1 | 324840 | Got this file
[INFO ] 2016-04-06 16:05:05:0969 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/platform_header.php | 1 | 321568 | Got platform_header
